"","year","Country.Code","Country.Name","SH.XPD.EXTR.ZS","NY.GNP.PCAP.CD","SH.XPD.PCAP","SH.XPD.PCAP.PP.KD","SH.XPD.PRIV.ZS","SH.XPD.PRIV","SH.XPD.PUBL.ZS","SH.XPD.PUBL.GX.ZS","SH.XPD.PUBL","SH.XPD.TOTL.ZS","SH.XPD.TOTL.CD","SH.XPD.OOPC.ZS","SH.XPD.OOPC.TO.ZS","SE.XPD.TOTL.GD.ZS","SH.STA.BRTC.ZS","SH.MED.BEDS.ZS","SH.STA.ACSN","SH.STA.ACSN.RU","SH.STA.ACSN.UR","SH.MED.NUMW.P3","SH.MED.PHYS.ZS","SH.HIV.TOTL","SH.HIV.INCD.TL","SH.DYN.AIDS","SH.HIV.INCD","SH.DYN.AIDS.DH","SH.HIV.ARTC.ZS","SH.HIV.PMTC.ZS","SH.HIV.0014","SH.HIV.INCD.14","SH.HIV.ORPH","SH.HIV.INCD.ZS","SH.HIV.1524.FE.ZS","SH.HIV.1524.MA.ZS","SH.DYN.AIDS.ZS","SH.DYN.AIDS.FE.ZS","SE.PRM.ENRR","SE.SEC.ENRR","SE.TER.ENRR","SP.ADO.TFRT","SH.DTH.IMRT","SH.MMR.DTHS","SH.DTH.NMRT","Region","IncomeGroup"
"929",2008,"HTI","Haiti",35.11854225,620,39.10258573,90.38626521,4.56648817879272,77.10421977,1.35599984120728,9.45834681,22.89578023,5.92248802,379495677.827125,50.82479462,39.18806134,NA,NA,NA,25.1,17,33.5,NA,NA,210000,5800,190000,3400,16000,10,NA,17000,2400,140000,0.07,1.1,0.4,3.3,57.8266392735599,NA,NA,NA,45.4042,16297,1100,7590,"Latin America & Caribbean","Low income"
"930",2009,"HTI","Haiti",37.15144298,680,44.07477635,104.27861654,5.3059950998376,79.4472,1.3726482001624,6.1763866,20.5528,6.6786433,434266699.911233,45.66326735,36.27818734,NA,NA,NA,25.5,17.4,33.5,NA,NA,2e+05,4800,180000,2500,15000,13,NA,16000,2300,140000,0.05,0.9,0.4,3,58.0005101871056,NA,NA,NA,44.3694,16064,1100,7537,"Latin America & Caribbean","Low income"
"931",2010,"HTI","Haiti",32.73718191,650,54.29907255,119.1245983,6.68405257782463,82.5738516,1.41058325217537,5.48087477,17.4261484,8.09463583,542969929.003478,40.59321931,33.51938467,NA,NA,NA,25.9,17.7,33.5,NA,NA,180000,3700,170000,1800,14000,16,26,16000,1900,140000,0.03,0.7,0.3,2.8,58.1786275598832,NA,NA,NA,43.3346,23398,1000,8161,"Latin America & Caribbean","Low income"
"932",2011,"HTI","Haiti",69.39444849,700,76.72563362,162.71207697,8.60855733973814,82.6563395,1.80632117026186,5.48087477,17.3436605,10.41487851,778373113.206276,31.00382333,25.62662547,NA,NA,NA,26.3,18.1,33.5,NA,NA,170000,2800,160000,1400,14000,21,41,15000,1400,130000,0.03,0.6,0.3,2.5,58.3944986138689,NA,NA,NA,42.2998,15350,980,7301,"Latin America & Caribbean","Low income"
"933",2012,"HTI","Haiti",59.39001171,750,75.12031035,159.45004854,8.9029328556333,90.08144242,0.9802712943667,3.44225018,9.91855758,9.88320415,772899952.53673,30.88471899,27.82140035,NA,37.3,NA,26.7,18.4,33.5,NA,NA,160000,2100,150000,1200,13000,27,62,13000,1000,130000,0.02,0.5,0.3,2.3,58.6490737147409,NA,NA,NA,41.265,14856,990,7125,"Latin America & Caribbean","Low income"
"934",2013,"HTI","Haiti",30.65666734,800,65.14928614,136.42137796,6.37825657548108,78.71671871,1.72454125451892,6.13942346,21.28328129,8.10279783,679588425.909896,41.12507719,32.37231133,NA,NA,NA,27.1,18.8,33.5,NA,NA,150000,1700,140000,1200,11000,36,89,12000,500,130000,0.02,0.5,0.3,2,58.9783079314804,NA,NA,NA,40.47,14312,980,6935,"Latin America & Caribbean","Low income"
"935",2014,"HTI","Haiti",32.73982781,820,61.45512168,130.84864328,5.99613777217807,79.35961098,1.55951641782193,6.13942346,20.64038902,7.55565419,649705328.559199,43.87192582,34.81658966,NA,NA,NA,27.4,19.2,33.6,NA,NA,140000,1600,130000,1200,9600,46,86,11000,500,120000,0.02,0.4,0.3,1.9,59.3477057448641,NA,NA,NA,39.675,13827,970,6733,"Latin America & Caribbean","Low income"
"936",2015,"HTI","Haiti",NA,820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6,19.2,33.6,NA,NA,130000,1500,120000,1300,8000,52,95,9500,500,110000,0.02,0.4,0.3,1.7,59.6650378183108,NA,NA,NA,NA,13407,950,6537,"Latin America & Caribbean","Low income"
"937",1990,"IRN","Iran, Islamic Rep.",NA,2560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.98885989189148,NA,1.4330999851,71.4,62.4,78.4,NA,NA,2500,500,2300,500,100,NA,NA,200,100,500,0.01,0.1,0.1,0.1,58.492975734355,106.339279174805,53.2175598144531,NA,89.8022,83925,2300,49611,"Middle East & North Africa","Upper middle income"
"938",1991,"IRN","Iran, Islamic Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.02673006057739,NA,NA,71.5,62.4,78.4,NA,NA,2900,1000,2700,500,200,NA,NA,500,100,500,0.01,0.1,0.1,0.1,57.8223708658491,108.816741943359,54.7500610351563,NA,82.5916,76044,2000,45482,"Middle East & North Africa","Upper middle income"
"939",1992,"IRN","Iran, Islamic Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.93407988548279,NA,NA,71.6,62.4,78.4,NA,NA,3300,1000,3000,500,200,NA,NA,500,100,1000,0.01,0.1,0.1,0.1,56.8114020550215,110.137939453125,58.4780693054199,NA,75.381,68110,1700,41219,"Middle East & North Africa","Upper middle income"
"940",1993,"IRN","Iran, Islamic Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.66561985015869,NA,NA,71.7,62.4,78.4,NA,0.3183000088,3600,1000,3300,500,200,NA,NA,500,100,1000,0.01,0.1,0.1,0.1,55.4419723391461,109.400169372559,63.4931488037109,NA,70.0316,60780,1500,37059,"Middle East & North Africa","Upper middle income"
"941",1994,"IRN","Iran, Islamic Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.8,63.4,79.2,NA,NA,4100,1000,3800,1000,200,NA,NA,500,100,1000,0.01,0.1,0.1,0.1,53.4156594850236,107.370407104492,68.1815719604492,NA,64.6822,54555,1300,33587,"Middle East & North Africa","Upper middle income"
"942",1995,"IRN","Iran, Islamic Rep.",0.16773943,1330,67.59382066,293.60710246,2.0688122265271,55.24369435,1.6760716934729,6.19932967,44.75630565,3.74488392,4077166793.86028,97.01437622,53.59432548,4.36840009689331,NA,NA,73.8,64.4,80,NA,NA,5000,1100,4700,1100,500,NA,NA,500,100,1100,0.01,0.1,0.1,0.1,51.4592274678112,105.978019714355,70.8059768676758,16.4024791717529,59.3328,49626,1200,30871,"Middle East & North Africa","Upper middle income"
"943",1996,"IRN","Iran, Islamic Rep.",0.02883976,1620,85.51547136,303.76770579,1.91408025684202,52.58810857,1.72567844315798,7.45428953,47.41189143,3.6397587,5242665532.85303,97.22426453,51.12840179,3.75548005104065,NA,1.6000000238,74.8,65.4,80.9,NA,0.85,6800,2100,6400,2000,500,NA,NA,500,200,1300,0.01,0.1,0.1,0.1,51.2221874020683,105.052856445313,NA,18.2965106964111,53.9834,45753,1000,28913,"Middle East & North Africa","Upper middle income"
"944",1997,"IRN","Iran, Islamic Rep.",0.02583567,1820,109.22751915,346.62662264,2.05936082406771,51.46372601,1.94221656593229,8.46052689,48.53627399,4.00157739,6818646503.78079,96.52303136,49.6743484,NA,86.1,NA,75.9,66.4,81.7,NA,NA,10000,4000,9900,3800,500,NA,NA,500,200,1500,0.01,0.1,0.1,0.1,48.8123993558776,102.450630187988,74.5613708496094,NA,48.634,42996,890,27502,"Middle East & North Africa","Upper middle income"
"945",1998,"IRN","Iran, Islamic Rep.",0.01575684,1810,133.21175539,390.17258107,2.26636780180731,51.46135585,2.13765102819269,9.71642741,48.53864415,4.40401883,8474407689.86838,96.93062452,49.88181361,NA,NA,NA,76.9,67.4,82.5,NA,1.049,15000,5100,14000,4900,500,NA,NA,1000,200,1800,0.01,0.1,0.1,0.1,45.2257484615917,102.507629394531,NA,NA,45.6078,40913,780,26515,"Middle East & North Africa","Upper middle income"
"946",1999,"IRN","Iran, Islamic Rep.",0.03087583,1730,176.52468075,403.61073413,2.52634029032665,57.59521365,1.86003164967335,9.16432211,42.40478635,4.38637194,11435332720.9244,96.21681565,55.41628054,4.22040987014771,NA,NA,77.9,68.5,83.3,NA,NA,20000,5100,19000,4900,500,NA,NA,1000,500,2100,0.01,0.1,0.1,0.1,42.2555355440195,100.828750610352,78.0428009033203,19.1311206817627,42.5816,38853,690,25625,"Middle East & North Africa","Upper middle income"
"947",2000,"IRN","Iran, Islamic Rep.",0.04656607,1760,229.49977325,427.22661439,2.61141516044084,58.36167575,1.86312249955916,10.60745991,41.63832425,4.47453766,15112574297.3688,96.23380271,56.16365989,4.03064012527466,89.6,NA,78.9,69.5,84.1,NA,NA,24000,5500,23000,5200,1000,1,NA,1000,500,2600,0.01,0.1,0.1,0.1,39.8765169256973,100.085899353027,78.5841293334961,19.3491401672363,39.5554,36776,620,24636,"Middle East & North Africa","Upper middle income"
"948",2001,"IRN","Iran, Islamic Rep.",0.07200344,1800,291.6830722,494.45323053,2.82865485354525,56.30966615,2.19473641645475,11.87777443,43.69033385,5.02339127,19488144098.5088,95.38240254,53.70951244,4.07168006896973,NA,1.6000000238,79.9,70.5,85,NA,NA,29000,5700,28000,5400,1000,1,NA,1000,500,3100,0.01,0.1,0.1,0.1,38.1436699857752,100.457130432129,77.9321365356445,20.387300491333,36.5292,34433,570,23334,"Middle East & North Africa","Upper middle income"
"949",2002,"IRN","Iran, Islamic Rep.",0.08308725,1880,107.58724037,568.40909009,3.20000811378894,59.37725324,2.18927471621106,9.90751418,40.62274676,5.38928283,7283298660.37684,90.09212936,53.4942318,4.48487997055054,NA,NA,80.8,71.5,85.8,NA,NA,33000,5700,33000,5500,1000,1,NA,1000,500,3700,0.01,0.1,0.1,0.1,36.9841562269713,99.9719619750977,77.6800537109375,19.2099990844727,33.503,32007,520,21841,"Middle East & North Africa","Upper middle income"
"950",2003,"IRN","Iran, Islamic Rep.",0.13608904,2190,110.83071103,633.68884651,3.06758260154306,56.64112734,2.34823933845694,10.71814189,43.35887266,5.41582194,7594350182.71262,87.83002338,49.74791538,4.36323022842407,NA,NA,81.8,72.5,86.6,NA,NA,38000,5700,37000,5400,1300,1,NA,1000,500,4500,0.01,0.1,0.1,0.1,36.284248444493,99.4091796875,76.7807922363281,19.9482803344727,33.0182,29933,480,20662,"Middle East & North Africa","Upper middle income"
"951",2004,"IRN","Iran, Islamic Rep.",0.01682211,2480,144.95581039,742.38292017,3.64834938007879,61.9659674,2.23931691992121,11.06638222,38.0340326,5.8876663,10048619875.0347,89.18939277,55.26707005,4.29662990570068,NA,NA,82.8,73.5,87.4,1.379,0.871,41000,5700,40000,5500,1600,1,NA,1000,500,5500,0.01,0.1,0.1,0.1,35.9108488694962,100.31623840332,76.3023300170898,21.7725200653076,32.5334,28149,450,19554,"Middle East & North Africa","Upper middle income"
"952",2005,"IRN","Iran, Islamic Rep.",0.04802897,2910,177.77368509,835.79245458,3.73010128170476,61.51669319,2.33345819829524,9.55435014,38.48330681,6.06355948,12465866789.8079,89.22359839,54.88740728,4.19664001464844,97.3,1.72,83.8,74.5,88.2,1.41,0.89,45000,5900,44000,5600,1900,1,NA,1100,500,6500,0.01,0.1,0.1,0.1,35.7781794056416,100.084320068359,75.8452911376953,22.8760795593262,32.0486,26727,420,18821,"Middle East & North Africa","Upper middle income"
"953",2006,"IRN","Iran, Islamic Rep.",0.4105673,3390,204.26132443,829.90068209,3.37714483422899,56.80422754,2.56809019577101,10.15977165,43.19577246,5.94523503,14486859411.5915,88.54436209,50.29694092,4.41890001296997,NA,1.4,84.8,75.6,89,NA,NA,48000,6200,47000,5900,2200,2,NA,1200,500,7700,0.01,0.1,0.1,0.1,35.7557706626955,103.694557189941,77.3779602050781,25.1945705413818,31.5638,25775,410,18337,"Middle East & North Africa","Upper middle income"
"954",2007,"IRN","Iran, Islamic Rep.",0.06898881,4160,254.34593823,889.97862764,3.42015552257084,58.5230164,2.42396484742916,11.37091573,41.4769836,5.84412037,18241909173.2509,88.32280478,51.68916953,4.7328200340271,NA,NA,85.7,76.6,89.9,NA,NA,51000,6300,50000,6000,2400,2,NA,1300,500,8900,0.01,0.1,0.1,0.1,35.718279484005,104.896492004395,77.5142974853516,29.6799697875977,31.079,25155,390,18005,"Middle East & North Africa","Upper middle income"
"955",2008,"IRN","Iran, Islamic Rep.",0.03561774,4820,314.54788736,984.04713305,3.84532464941948,61.20063489,2.43782038058052,10.06964177,38.79936511,6.28314503,22814376251.6621,86.67083187,53.04309937,4.05765008926392,NA,NA,86.7,77.6,90.7,NA,NA,55000,6600,53000,6300,2700,2,NA,1400,500,10000,0.01,0.1,0.1,0.1,35.6836561971036,106.158241271973,81.007698059082,35.981990814209,30.5856,24542,380,17552,"Middle East & North Africa","Upper middle income"
"956",2009,"IRN","Iran, Islamic Rep.",0.04911935,5370,380.76167723,1205.01553756,4.75240017851534,62.27313737,2.87914109148466,12.8322075,37.72686263,7.63154127,27936858166.3168,87.22974921,54.32070155,3.98898005485535,NA,1.7,87.6,78.6,91.5,NA,NA,57000,6600,56000,6200,3000,3,NA,1500,500,11000,0.01,0.1,0.1,0.1,35.6135024111449,107.123733520508,82.8315811157227,36.3573989868164,30.0922,23877,370,17099,"Middle East & North Africa","Upper middle income"
"957",2010,"IRN","Iran, Islamic Rep.",0.01326777,6020,455.44662392,1335.15092184,5.33456760917576,66.52202906,2.68468208082424,12.65274276,33.47797094,8.01924969,33818448047.5127,86.79404358,57.73715889,3.8711199760437,96.4,NA,88.6,79.6,92.3,1.41,0.89,60000,6600,59000,6300,3200,3,7,1600,500,12000,0.01,0.1,0.1,0.1,35.4976877527687,105.76188659668,81.9550476074219,42.6055717468262,29.5988,23065,370,16440,"Middle East & North Africa","Upper middle income"
"958",2011,"IRN","Iran, Islamic Rep.",0.02389107,6730,545.22789095,1242.80241531,4.64538922723703,65.20373032,2.47903326276297,12.72739096,34.79626968,7.12442249,40992589316.6049,85.2423327,55.58118073,3.65862011909485,96.4,NA,89.3,80.6,92.8,NA,NA,63000,6800,61000,6400,3500,4,9,1700,500,14000,0.01,0.1,0.1,0.1,35.3363302002452,105.404449462891,85.1179428100586,48.520580291748,29.1054,22234,370,15848,"Middle East & North Africa","Upper middle income"
"959",2012,"IRN","Iran, Islamic Rep.",0.03229808,7010,510.59283654,1143.93808047,4.29623423860165,61.51684007,2.68760016139836,17.53158028,38.48315993,6.9838344,38885205887.4858,81.29801682,50.01197099,3.22459006309509,NA,0.1,89.6,81.6,92.8,NA,NA,66000,7000,64000,6600,3600,5,14,1800,500,15000,0.01,0.1,0.1,0.1,35.1855044749918,105.282348632813,87.6428375244141,54.8990592956543,28.612,21347,360,15114,"Middle East & North Africa","Upper middle income"
"960",2013,"IRN","Iran, Islamic Rep.",0.03964754,7120,414.70165034,1045.00948475,3.75871907618932,57.89093578,2.73404015381068,17.53158028,42.10906422,6.49275923,31995246269.6222,81.29801682,47.0641827,3.15049004554749,NA,NA,89.9,82.3,92.8,NA,NA,68000,7000,66000,6700,3700,7,15,1800,500,16000,0.01,0.1,0.1,0.1,35.0803654895811,118.396087646484,86.6217727661133,57.8460884094238,27.8554,20298,360,14266,"Middle East & North Africa","Upper middle income"
"961",2014,"IRN","Iran, Islamic Rep.",0.03133085,6550,350.7386071,1081.67150536,4.05412015534107,58.7986344,2.84080214465893,17.53158028,41.2013656,6.8949223,27407992850.1213,81.29801682,47.80212368,2.95486998558044,NA,NA,89.9,82.3,92.8,NA,NA,71000,7100,69000,6800,3900,8,18,1900,500,17000,0.01,0.1,0.1,0.1,34.9734950257788,109.184089660645,88.4066390991211,65.9575500488281,27.0988,19143,350,13486,"Middle East & North Africa","Upper middle income"
"962",2015,"IRN","Iran, Islamic Rep.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,90,82.3,92.8,NA,NA,73000,7100,71000,6800,4000,9,20,1900,500,18000,0.01,0.1,0.1,0.1,34.9204344531447,NA,NA,NA,NA,18067,340,12799,"Middle East & North Africa","Upper middle income"
"963",1990,"JAM","Jamaica",NA,1790,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7791600227356,NA,2.2000000477,79.8,80.8,78.8,NA,0.5699999928,11000,3400,11000,3300,200,NA,NA,200,100,500,0.29,0.7,1.1,0.9,34.4015933369546,103.626373291016,NA,NA,107.1616,1476,49,1197,"Latin America & Caribbean","Upper middle income"
"964",1991,"JAM","Jamaica",NA,1760,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.38306999206543,NA,NA,79.9,81,78.8,NA,NA,14000,3700,14000,3600,500,NA,NA,200,100,500,0.32,1,1.4,1.2,35.049311044275,102.236557006836,69.5169906616211,6.53724002838135,105.2688,1420,48,1167,"Latin America & Caribbean","Upper middle income"
"965",1992,"JAM","Jamaica",NA,1630,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.33665990829468,NA,NA,80,81.1,78.9,NA,NA,18000,4000,18000,3900,500,NA,NA,200,200,1000,0.33,1.2,1.6,1.5,35.7361789079351,NA,NA,6.48739004135132,103.376,1388,47,1157,"Latin America & Caribbean","Upper middle income"
"966",1993,"JAM","Jamaica",NA,1800,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.21403002738953,NA,2.1003000736,80.1,81.3,78.9,NA,0.4720000029,21000,4100,21000,4000,500,NA,NA,500,200,1200,0.34,1.3,1.8,1.7,36.3714613618975,98.8389282226563,66.2123336791992,NA,101.6008,1368,48,1157,"Latin America & Caribbean","Upper middle income"
"967",1994,"JAM","Jamaica",NA,1820,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.52024984359741,NA,NA,80.2,81.4,79,NA,NA,24000,3700,24000,3600,1000,NA,NA,500,200,1800,0.3,1.5,1.8,1.9,36.8604157827747,NA,NA,NA,99.8256,1349,48,1153,"Latin America & Caribbean","Upper middle income"
"968",1995,"JAM","Jamaica",10.4476761,2120,97.23829212,261.43233339,1.93981595314655,46.58431638,2.22428068685345,5.59562979,53.41568362,4.16409664,242078617.771814,61.92278577,28.84630643,3.74213004112244,NA,2.1,80.3,81.5,79,NA,0.57,26000,3300,26000,3100,1000,NA,NA,500,200,2500,0.26,1.5,1.8,2,37.2339593114241,NA,NA,NA,98.0504,1322,48,1141,"Latin America & Caribbean","Upper middle income"
"969",1996,"JAM","Jamaica",8.51899724,2310,122.88917279,299.29538423,1.87089383110105,39.55404537,2.85907452889896,6.04500109,60.44595463,4.72996836,308739384.362304,60.57798368,23.96104315,4.16107988357544,90,2.1199998856,80.3,81.7,79.1,NA,1.401,28000,3200,27000,3100,1000,NA,NA,500,200,3400,0.25,1.5,1.7,2.1,37.5183392018779,NA,NA,NA,96.2752,1282,49,1126,"Latin America & Caribbean","Upper middle income"
"970",1997,"JAM","Jamaica",2.3352995,2530,175.97628168,376.43968981,2.61603151149458,43.81297878,3.35487387850542,7.71517272,56.18702122,5.97090539,446177831.539905,69.38303713,30.39877534,4.96097993850708,94.6,NA,80.4,81.8,79.1,NA,1.401,29000,3000,29000,2900,1200,NA,NA,500,200,4500,0.23,1.5,1.7,2.2,37.6970503748336,NA,NA,NA,94.5,1237,50,1105,"Latin America & Caribbean","Upper middle income"
"971",1998,"JAM","Jamaica",2.37443505,2690,187.3717913,338.23894435,2.09936164550216,38.2877652,3.38375191449784,8.37941331,61.7122348,5.48311356,479342198.74966,66.5921288,25.49663792,NA,NA,NA,80.5,82,79.2,NA,NA,30000,2900,30000,2800,1400,NA,NA,1000,200,5700,0.23,1.4,1.6,2.2,37.7890638225834,NA,NA,NA,92.0738,1191,50,1073,"Latin America & Caribbean","Upper middle income"
"972",1999,"JAM","Jamaica",2.42769314,3030,172.56573064,316.37612705,2.33037697822099,46.22396781,2.71111359177901,6.46930461,53.77603219,5.04149057,445214925.78704,69.47106409,32.1122823,NA,NA,NA,80.6,82.1,79.2,NA,NA,31000,2800,30000,2600,1600,NA,NA,1000,200,7100,0.21,1.3,1.5,2.3,37.8026132519732,95.125732421875,87.5776596069336,9.3923397064209,89.6476,1137,50,1032,"Latin America & Caribbean","Upper middle income"
"973",2000,"JAM","Jamaica",1.6780658,3290,199.94432115,373.22211861,2.58886989558472,44.56405797,3.22045271441528,7.37318815,55.43594203,5.80932261,519874229.705146,65.00783227,28.97012806,5.01510000228882,95.9,NA,80.7,82.2,79.3,NA,NA,31000,2600,30000,2500,1800,0,NA,1000,200,8400,0.2,1.2,1.4,2.2,37.7730333388077,96.7003021240234,86.3706893920898,15.4275102615356,87.2214,1076,50,979,"Latin America & Caribbean","Upper middle income"
"974",2001,"JAM","Jamaica",3.11809989,3280,185.60803567,352.98923715,2.88821129727677,54.10820397,2.44963229272323,4.71704985,45.89179603,5.33784359,485982160.004406,69.26829268,37.47982909,5.41476011276245,98.5,1.5,80.8,82.4,79.3,NA,NA,31000,2500,30000,2300,1900,0,NA,1000,200,9900,0.18,1.1,1.3,2.2,37.6818256443934,96.6596832275391,85.53125,18.0315608978271,84.7952,1010,49,917,"Latin America & Caribbean","Upper middle income"
"975",2002,"JAM","Jamaica",0.43765591,3330,179.11609316,303.7062767,2.0684103416242,42.5970502,2.7873492283758,5.86782627,57.4029498,4.85575957,471931320.8298,61.81033597,26.32937984,5.42852020263672,96.9,1.5,80.9,82.5,79.4,NA,NA,31000,2400,30000,2300,2000,0,NA,1000,200,11000,0.17,1,1.2,2.2,37.4863748967795,96.9953765869141,85.5340423583984,19.0277004241943,82.369,944,48,849,"Latin America & Caribbean","Upper middle income"
"976",2003,"JAM","Jamaica",0.87429577,3530,162.21865693,303.70680859,2.25395185188493,49.4480736,2.30426788811507,4.4945304,50.5519264,4.55821974,429851052.600705,64.7274505,32.00647736,4.25684976577759,97.4,1.3999999762,81,82.7,79.4,1.65,0.85,31000,2300,30000,2100,2100,0,NA,1000,200,12000,0.16,0.9,1.2,2.1,37.1708327763668,95.5876617431641,85.5838317871094,21.3422508239746,80.5876,877,48,781,"Latin America & Caribbean","Upper middle income"
"977",2004,"JAM","Jamaica",1.19684408,3770,183.47279882,332.07000441,2.08071818248314,43.30703397,2.72385509751686,5.1677114,56.69296603,4.80457328,488780526.21282,63.64057434,27.56084515,3.91254997253418,NA,1.8,81,82.8,79.5,NA,NA,30000,2100,29000,2000,2100,1,NA,1000,200,14000,0.15,0.9,1.1,2,37.0726568340923,97.2451400756836,90.8661270141602,21.5473194122314,78.8062,823,47,727,"Latin America & Caribbean","Upper middle income"
"978",2005,"JAM","Jamaica",1.82950168,3920,170.74928948,285.18436267,2.08246070313715,51.18742033,1.98584492686285,3.52444677,48.81257967,4.06830563,457247473.317982,63.64135282,32.57636677,4.61641979217529,96.7,1.7,81.1,82.9,79.5,NA,NA,30000,2000,29000,2000,2100,5,NA,1000,100,15000,0.14,0.8,1.1,2,36.9384588863989,NA,90.5708923339844,19.4395599365234,77.0248,788,47,685,"Latin America & Caribbean","Upper middle income"
"979",2006,"JAM","Jamaica",1.59511778,4230,187.06848565,341.93644427,1.91093524093343,45.27053016,2.31021090906657,4.4965148,54.72946984,4.22114615,503484353.303625,63.73039706,28.85108863,NA,94.5,2,81.2,83.1,79.6,NA,NA,29000,1900,29000,1800,1700,7,NA,1000,100,15000,0.13,0.8,1,1.9,36.9428739898026,NA,NA,19.1483402252197,75.2434,769,46,668,"Latin America & Caribbean","Upper middle income"
"980",2007,"JAM","Jamaica",2.23259872,4480,230.49139195,408.82774665,2.33698874833734,47.96864699,2.53492008166266,5.53711929,52.03135301,4.87190883,623388401.62692,70.95299315,34.03519081,5.49022006988525,NA,1.7,81.3,83.2,79.6,NA,NA,29000,1700,29000,1700,1700,10,NA,1000,100,15000,0.12,0.7,1,1.9,36.9836661886608,NA,93.2789764404297,NA,73.462,763,47,661,"Latin America & Caribbean","Upper middle income"
"981",2008,"JAM","Jamaica",1.89061461,4750,272.61925723,456.94491018,2.51062101526298,46.45605591,2.89367120473702,6.44701905,53.54394409,5.40429222,740800302.9273,70.9534802,32.96218843,6.19131994247437,98.3,NA,81.4,83.4,79.7,1.092,0.411,29000,1700,28000,1600,1600,13,NA,1000,100,16000,0.11,0.7,0.9,1.8,37.0865587614356,NA,94.5544586181641,23.8943691253662,71.5908,758,47,655,"Latin America & Caribbean","Upper middle income"
"982",2009,"JAM","Jamaica",2.02653197,4500,229.12732279,418.17366126,2.26435789837741,43.8991025,2.89373821162259,5.49192244,56.1008975,5.15809611,625420212.106008,70.89980505,31.12437809,6.19851016998291,NA,1.7,81.5,83.5,79.7,NA,NA,29000,1600,28000,1600,1500,18,NA,500,100,15000,0.11,0.7,0.9,1.8,37.2341928647121,NA,95.5625610351563,23.7422294616699,69.7196,749,47,645,"Latin America & Caribbean","Upper middle income"
"983",2010,"JAM","Jamaica",0.98185347,4570,255.65730574,426.41210452,2.30677178973278,43.54965031,2.99010608026722,8.4728926,56.45034969,5.29687787,700821356.318059,70.95352379,30.90001149,6.3713002204895,NA,1.9,81.6,83.7,79.7,NA,NA,29000,1600,28000,1600,1400,20,81,500,100,15000,0.11,0.6,0.9,1.7,37.3919181224634,NA,92.8252105712891,27.1746692657471,67.8484,725,46,632,"Latin America & Caribbean","Upper middle income"
"984",2011,"JAM","Jamaica",1.69684505,4810,273.30519289,433.74205157,2.41634154920306,46.36499489,2.79522281079694,6.46004895,53.63500511,5.21156436,752233734.103706,70.9763286,32.90817113,6.26768016815186,99.1,NA,81.6,83.8,79.8,NA,NA,29000,1600,28000,1600,1400,23,65,500,100,15000,0.11,0.6,0.8,1.7,37.4403731316915,NA,92.7189025878906,26.5018196105957,65.9772,686,46,595,"Latin America & Caribbean","Upper middle income"
"985",2012,"JAM","Jamaica",1.76443143,5240,302.92071233,480.89471243,2.38335942514791,42.13026204,3.27376044485209,7.13426811,57.86973796,5.65711987,836959325.939486,59.48921412,25.06296179,6.11947011947632,NA,1.7,81.7,83.9,79.8,NA,NA,29000,1700,28000,1600,1400,26,66,500,100,14000,0.11,0.6,0.8,1.7,37.4704032229565,NA,NA,29.0617694854736,64.106,642,45,551,"Latin America & Caribbean","Upper middle income"
"986",2013,"JAM","Jamaica",1.18083744,5300,305.85417674,514.09869668,2.52561314411212,42.76533871,3.38013487588788,9.71888518,57.23466129,5.90574802,848199390.73688,58.41427581,24.9810629,6.25988006591797,NA,NA,81.8,84.1,79.9,NA,NA,29000,1700,28000,1600,1300,29,64,500,100,14000,0.11,0.6,0.8,1.7,37.5493096646943,NA,69.3082885742188,27.8326797485352,62.3322,595,44,512,"Latin America & Caribbean","Upper middle income"
"987",2014,"JAM","Jamaica",2.81376938,5200,266.19011641,476.17910904,2.55294675744385,47.61605807,2.80857803255616,8.0754906,52.38394193,5.36152479,740887217.198782,58.41427581,27.81457549,6.02606010437012,NA,NA,81.8,84.1,79.9,NA,NA,29000,1700,29000,1600,1200,32,89,500,100,13000,0.11,0.6,0.8,1.6,37.8871120131574,NA,68.837043762207,NA,60.5584,555,44,480,"Latin America & Caribbean","Upper middle income"
